0,1.000000000000e+00,1.277432923105e+00,1.207106781187e+00,7.362368229584e-01,1.224646799147e-16,-7.362368229584e-01,-1.207106781187e+00,-1.277432923105e+00,-1.000000000000e+00,-5.703261419180e-01,-2.071067811865e-01,-2.913004177182e-02,-0.000000000000e+00,2.913004177182e-02,2.071067811865e-01,5.703261419180e-01
5,9.709170615726e-01,1.266859118230e+00,1.238065100819e+00,7.790644585435e-01,1.240406731564e-16,-7.790644585435e-01,-1.238065100819e+00,-1.266859118230e+00,-9.709170615726e-01,-5.507888130436e-01,-2.000401111381e-01,-2.714574524108e-02,-7.142727662520e-18,2.714574524108e-02,2.000401111381e-01,5.507888130436e-01
10,9.426355886187e-01,1.251947855968e+00,1.266837190143e+00,8.255978773529e-01,1.289707403992e-16,-8.255978773529e-01,-1.266837190143e+00,-1.251947855968e+00,-9.426355886187e-01,-5.328450689265e-01,-1.927273838692e-01,-2.568000888373e-02,-1.561891959167e-17,2.568000888373e-02,1.927273838692e-01,5.328450689265e-01
15,9.157009022270e-01,1.232648194684e+00,1.292946537769e+00,8.758318133448e-01,1.327758866352e-16,-8.758318133448e-01,-1.292946537769e+00,-1.232648194684e+00,-9.157009022270e-01,-5.164378505503e-01,-1.848554214052e-01,-2.496467237217e-02,-2.462603194888e-17,2.496467237217e-02,1.848554214052e-01,5.164378505503e-01
20,8.906618993751e-01,1.208961395068e+00,1.315914644025e+00,9.296963227567e-01,1.350034795035e-16,-9.296963227567e-01,-1.315914644025e+00,-1.208961395068e+00,-8.906618993751e-01,-5.014763832722e-01,-1.761072049144e-01,-2.525019566874e-02,-3.294185767762e-17,2.525019566874e-02,1.761072049144e-01,5.014763832722e-01
25,8.680621311044e-01,1.180943192255e+00,1.335268222988e+00,9.870533827431e-01,1.410550940396e-16,-9.870533827431e-01,-1.335268222988e+00,-1.180943192255e+00,-8.680621311044e-01,-4.878373226476e-01,-1.661674018375e-01,-2.680101529849e-02,-4.270284473825e-17,2.680101529849e-02,1.661674018375e-01,4.878373226476e-01
30,8.484306265709e-01,1.148705250153e+00,1.350546961011e+00,1.047695124888e+00,1.463553229992e-16,-1.047695124888e+00,-1.350546961011e+00,-1.148705250153e+00,-8.484306265709e-01,-4.753663938281e-01,-1.547279492799e-01,-2.989051667836e-02,-5.438299161475e-17,2.989051667836e-02,1.547279492799e-01,4.753663938281e-01
35,8.322726931539e-01,1.112415727839e+00,1.361311720229e+00,1.111343933493e+00,1.524487348683e-16,-1.111343933493e+00,-1.361311720229e+00,-1.112415727839e+00,-8.322726931539e-01,-4.638804895382e-01,-1.414935396038e-01,-3.479575712392e-02,-6.544468830626e-17,3.479575712392e-02,1.414935396038e-01,4.638804895382e-01
40,8.200609493777e-01,1.072298894673e+00,1.367153030229e+00,1.177654590624e+00,1.619375529710e-16,-1.177654590624e+00,-1.367153030229e+00,-1.072298894673e+00,-8.200609493777e-01,-4.531701851216e-01,-1.261868454949e-01,-4.179209127854e-02,-8.035276286011e-17,4.179209127854e-02,1.261868454949e-01,4.531701851216e-01
45,8.122268677220e-01,1.028633740847e+00,1.367699662074e+00,1.246218582511e+00,1.676372071634e-16,-1.246218582511e+00,-1.367699662074e+00,-1.028633740847e+00,-8.122268677220e-01,-4.430026235237e-01,-1.085533184735e-01,-5.114786370237e-02,-9.593979518692e-17,5.114786370237e-02,1.085533184735e-01,4.430026235237e-01
50,8.091531156724e-01,9.817515458352e-01,1.362627030578e+00,1.316570595328e+00,1.721378082713e-16,-1.316570595328e+00,-1.362627030578e+00,-9.817515458352e-01,-8.091531156724e-01,-4.331247180137e-01,-8.836539811434e-02,-6.311934050762e-02,-1.106570047679e-16,6.311934050762e-02,8.836539811434e-02,4.331247180137e-01
55,8.111669825941e-01,9.320323906443e-01,1.351665128933e+00,1.388197125026e+00,1.771555836640e-16,-1.388197125026e+00,-1.351665128933e+00,-9.320323906443e-01,-8.111669825941e-01,-4.232666156027e-01,-6.542598022968e-02,-7.794605151596e-02,-1.273645128266e-16,7.794605151596e-02,6.542598022968e-02,4.232666156027e-01
60,8.185351643977e-01,8.799006322140e-01,1.334605670986e+00,1.460547010791e+00,1.878310473198e-16,-1.460547010791e+00,-1.334605670986e+00,-8.799006322140e-01,-8.185351643977e-01,-4.131453591673e-01,-3.957101172631e-02,-9.584670496989e-02,-1.447824089124e-16,9.584670496989e-02,3.957101172631e-02,4.131453591673e-01
65,8.314601454274e-01,8.258194000940e-01,1.311308107139e+00,1.533043582427e+00,1.953138815852e-16,-1.533043582427e+00,-1.311308107139e+00,-8.258194000940e-01,-8.314601454274e-01,-4.024686811277e-01,-1.067110796082e-02,-1.170158174311e-01,-1.620453024305e-16,1.170158174311e-01,1.067110796082e-02,4.024686811277e-01
70,8.500783667172e-01,7.702842251998e-01,1.281704195220e+00,1.605097998128e+00,2.021741197043e-16,-1.605097998128e+00,-1.281704195220e+00,-7.702842251998e-01,-8.500783667172e-01,-3.909388562060e-01,2.136787543098e-02,-1.416211720584e-01,-1.833108933550e-16,1.416211720584e-01,-2.136787543098e-02,3.909388562060e-01
75,8.744603026833e-01,7.138159650378e-01,1.245800850970e+00,1.676123251812e+00,2.070024180683e-16,-1.676123251812e+00,-1.245800850970e+00,-7.138159650378e-01,-8.744603026833e-01,-3.782565356357e-01,5.660534161738e-02,-1.698021799386e-01,-2.028751018441e-16,1.698021799386e-01,-5.660534161738e-02,3.782565356357e-01
80,9.046124874329e-01,6.569532447746e-01,1.203681074038e+00,1.745548259020e+00,2.176356545016e-16,-1.745548259020e+00,-1.203681074038e+00,-6.569532447746e-01,-9.046124874329e-01,-3.641244807473e-01,9.506750134503e-02,-2.016691736277e-01,-2.256457828324e-16,2.016691736277e-01,-9.506750134503e-02,3.641244807473e-01
85,9.404814421561e-01,6.002446834083e-01,1.155502841062e+00,1.812831396559e+00,2.156336369866e-16,-1.812831396559e+00,-1.155502841062e+00,-6.002446834083e-01,-9.404814421561e-01,-3.482511108175e-01,1.367499028945e-01,-2.373036126333e-01,-2.449850139212e-16,2.373036126333e-01,-1.367499028945e-01,3.482511108175e-01
90,9.819593631309e-01,5.442412133878e-01,1.101495970805e+00,1.877472879302e+00,2.119917855355e-16,-1.877472879302e+00,-1.101495970805e+00,-5.442412133878e-01,-9.819593631309e-01,-3.303537791911e-01,1.816208304852e-01,-2.767591310057e-01,-2.644988251877e-16,2.767591310057e-01,-1.816208304852e-01,3.303537791911e-01
95,1.028891343153e+00,4.894888253263e-01,1.041957087719e+00,1.939025409248e+00,2.092307855232e-16,-1.939025409248e+00,-1.041957087719e+00,-4.894888253263e-01,-1.028891343153e+00,-3.101616936173e-01,2.296254209688e-01,-3.200633114943e-01,-2.850822058625e-16,3.200633114943e-01,-2.296254209688e-01,3.101616936173e-01
100,1.081083825064e+00,4.365220735615e-01,9.772429287031e-01,1.997102623475e+00,2.052234878261e-16,-1.997102623475e+00,-9.772429287031e-01,-4.365220735615e-01,-1.081083825064e+00,-2.874184019247e-01,2.806903212157e-01,-3.672200325165e-01,-3.084353389951e-16,3.672200325165e-01,-2.806903212157e-01,2.874184019247e-01
